experiment,strain,replicates,normalized.growth.rate.mean,normalized.growth.rate.sd,normalized.growth.rate.sem,normalized.growth.rate.95CI.range,normalized.GFP.rate.mean,normalized.GFP.rate.sd,normalized.GFP.rate.sem,normalized.GFP.rate.95CI.range,p.value,translational.burden.fraction.p.value,category,burden.mean,burden.sd,burden.sem,burden.95CI.range,burden.cv,translational.burden.fraction.mean,translational.burden.fraction.sd,translational.burden.fraction.sem,translational.burden.fraction.95CI.range
exp009,BB211,3,1.022808434,0.045011553,0.025987432,0.111814897,0.966131729,0.046803266,0.027021878,0.116265759,0.998476415,0.999986208,no burden,-0.022808434,0.045011553,0.025987432,0.111814897,-1.973460888,-1.484901169,-2.052015728,-1.139378175,-4.902348614
exp009,BB213,3,0.996151397,0.015390862,0.008885918,0.03823302,1.084016248,0.024126292,0.013929321,0.059933032,0.643305005,0.069025606,no burden,0.003848603,0.015390862,0.008885918,0.03823302,3.99907721,-21.83032184,6.268843639,2.308868304,9.934258509
exp009,BB214,3,1.009982562,0.081382894,0.046986436,0.202166316,0.997556706,0.02106453,0.012161612,0.052327194,0.862465774,0.888745492,no burden,-0.009982562,0.081382894,0.046986436,0.202166316,-8.152505954,-0.244756179,-2.110132753,-4.706851507,-20.25194749
exp009,BB218,3,0.677553797,0.085086369,0.049124638,0.211366259,0.729035384,0.13736363,0.079306929,0.341230175,0.07593931,0.60847098,no burden,0.322446203,0.085086369,0.049124638,0.211366259,0.263877721,0.840340537,0.4260048,0.152349873,0.655508598
exp009,BB219,3,1.065955289,0.024721164,0.014272771,0.061410776,0.976937923,0.053245393,0.030741242,0.13226889,0.999177152,0.999986208,no burden,-0.065955289,0.024721164,0.014272771,0.061410776,-0.37481701,-0.349662277,-0.807295279,-0.216400701,-0.931097069
exp009,BB220,3,0.816663725,0.027708379,0.01599744,0.068831429,0.84768048,0.032053504,0.018506099,0.079625317,0.043181332,0.409070856,significant,0.183336275,0.027708379,0.01599744,0.068831429,0.151134187,0.830820414,0.174834488,0.087257364,0.375438134
exp009,BB223,3,1.03497858,0.020787416,0.01200162,0.051638805,0.929584489,0.026768667,0.015454897,0.066497055,0.999177152,0.999986208,no burden,-0.03497858,0.020787416,0.01200162,0.051638805,-0.594289885,-2.013103744,-0.765287404,-0.343113425,-1.476297916
exp009,BB225,3,1.017620042,0.061417846,0.03545961,0.152570387,1.018314596,0.041283525,0.023835054,0.102553962,0.951398457,0.805619819,no burden,-0.017620042,0.061417846,0.03545961,0.152570387,-3.485680974,1.039418397,-2.342986736,-2.012458848,-8.658911558
exp009,BB228,3,0.959981886,0.030819419,0.0177936,0.07655968,0.988617645,0.030031781,0.017338857,0.074603079,0.255553711,0.434015768,no burden,0.040018114,0.030819419,0.0177936,0.07655968,0.770136712,0.284430064,0.750454681,0.444638638,1.913125651
exp009,JEB1204,3,0.862248752,0.01390522,0.008028183,0.034542482,0.835166003,0.014948349,0.008630433,0.037133758,NA,NA,control,0.137751248,0.01390522,0.008028183,0.034542482,0.100944423,1.196606199,0.108516978,0.05828029,0.250759849
exp009,JEB1205,3,0.770145697,0.019880654,0.011478101,0.049386282,0.90349227,0.03741198,0.021599817,0.092936509,NA,NA,control,0.229854303,0.019880654,0.011478101,0.049386282,0.086492415,0.419864794,0.162763886,0.049936419,0.214859069
exp009,JEB1206,3,0.614023553,0.022879694,0.013209598,0.056836312,0.566440954,0.042092016,0.024301837,0.104562365,NA,NA,control,0.385976447,0.022879694,0.013209598,0.056836312,0.059277437,1.123278505,0.109053328,0.034223844,0.147253316
exp009,JEB1207,3,0.796939456,0.006405408,0.003698164,0.015911916,0.736729297,0.025629418,0.014797151,0.063667003,NA,NA,control,0.203060544,0.006405408,0.003698164,0.015911916,0.031544327,1.296513337,0.126215647,0.018212126,0.078360453
exp009,JEB1208,3,0.691064118,0.041586876,0.024010194,0.103307528,0.697174205,0.053143288,0.030682292,0.132015247,NA,NA,control,0.308935882,0.041586876,0.024010194,0.103307528,0.134613293,0.980222152,0.172020446,0.077719021,0.334397956
exp010,BB238,6,1.041299549,0.030492652,0.012448573,0.032000076,0.948870834,0.042347092,0.017288128,0.044440547,0.999177152,0.999986208,no burden,-0.041299549,0.030492652,0.012448573,0.032000076,-0.73832893,-1.238007846,-1.025364507,-0.301421524,-0.774828694
exp010,BB239,4,1.041573155,0.032812075,0.016406038,0.052211333,0.977004621,0.018905049,0.009452524,0.030082152,0.999177152,0.999986208,no burden,-0.041573155,0.032812075,0.016406038,0.052211333,-0.78926112,-0.553130462,-0.454741741,-0.39463056,-1.255890567
exp010,BB240,6,0.987413631,0.011569187,0.004723101,0.012141117,1.20634161,0.054529733,0.02226167,0.057225445,0.110961261,0.008702293,no burden,0.012586369,0.011569187,0.004723101,0.012141117,0.919183836,-16.39405327,4.332443386,0.37525523,0.964624277
exp010,BB241,6,1.027244469,0.021913917,0.008946319,0.022997246,1.030917982,0.027253992,0.011126396,0.028601311,0.999177152,0.726400489,no burden,-0.027244469,0.021913917,0.008946319,0.022997246,-0.804343725,1.13483521,-1.000349556,-0.328371951,-0.844106972
exp010,BB242,6,1.013418355,0.020735332,0.008465164,0.021760397,1.009327347,0.015462744,0.006312639,0.016227155,0.999177152,0.922005127,no burden,-0.013418355,0.020735332,0.008465164,0.021760397,-1.545296193,0.69511852,-1.152357685,-0.630864529,-1.621688899
exp010,BB243,6,0.969918445,0.059741472,0.024389354,0.06269483,0.883247507,0.022860618,0.009332808,0.023990747,0.355816814,0.999986208,no burden,0.030081555,0.059741472,0.024389354,0.06269483,1.985983528,3.881198776,0.75995467,0.81077438,2.084161895
exp010,BB244,3,0.90634612,0.013623792,0.0078657,0.033843376,0.776734772,0.04256379,0.024574216,0.105734317,0.041182201,0.999986208,significant,0.09365388,0.013623792,0.0078657,0.033843376,0.145469599,2.383939981,0.454479735,0.083986912,0.361366518
exp010,BB245,3,1.000599667,0.015509017,0.008954135,0.038526535,0.896176873,0.039351165,0.022719406,0.097753712,0.843672672,0.999986208,no burden,-0.000599667,0.015509017,0.008954135,0.038526535,-25.86273213,-173.1347438,-65.62173563,-14.93185535,-64.2465882
exp010,BB246,3,1.018212977,0.016050217,0.009266597,0.039870949,0.584152073,0.022728765,0.013122459,0.056461383,0.999177152,0.999986208,no burden,-0.018212977,0.016050217,0.009266597,0.039870949,-0.881251708,-22.83250733,-1.247943463,-0.508790911,-2.189150601
exp010,BB247,3,0.99347824,0.023630804,0.013643251,0.058702171,0.936468988,0.006813984,0.003934055,0.016926875,0.629487997,0.999986208,no burden,0.00652176,0.023630804,0.013643251,0.058702171,3.62337842,9.741390986,1.04480757,2.091958506,9.000970976
exp010,BB248,9,0.972466502,0.041848057,0.013949352,0.032167264,1.043468726,0.047654325,0.015884775,0.036630357,0.163343105,0.043042738,no burden,0.027533498,0.041848057,0.013949352,0.032167264,1.51989616,-1.578757855,1.730776302,0.506632053,1.16829561
exp010,BB249,3,0.964932103,0.020601849,0.011894483,0.05117783,1.033831119,0.052661044,0.030403868,0.130817284,0.182992709,0.310963476,no burden,0.035067897,0.020601849,0.011894483,0.05117783,0.58748459,-0.964731915,1.501688107,0.339184386,1.459392625
exp010,BB289,1,0.966289058,NA,NA,NA,1.057648586,NA,NA,NA,NA,NA,no burden,0.033710942,NA,NA,NA,NA,-1.710085295,NA,NA,NA
exp010,BB39,1,0.769250312,NA,NA,NA,1.253948919,NA,NA,NA,NA,NA,no burden,0.230749688,NA,NA,NA,NA,-1.100538516,NA,NA,NA
