strain,isolate,well,growth.rate,GFP.rate,other.rate,run
EV106,C,B5,0.8193171416244676,446.1786867599564,NA,41
EV106,C,B6,0.8049319292240685,379.41062427297436,NA,41
EV109,A,E10,1.3295936417020693,836.0331512525903,NA,41
EV109,A,E11,1.4443384402862396,370.8722597354547,NA,41
EV109,A,E12,1.7469965616391154,446.2049383967957,NA,41
EV109,A,E7,1.362142743117793,603.2069228811397,NA,41
EV109,A,E8,1.3482715398144771,362.6707287151387,NA,41
EV109,A,E9,1.2697246753014615,546.1632528278815,NA,41
EV109,B,F1,0.8820925714897246,370.25038114225396,NA,41
EV109,B,F2,0.9587192773598314,407.5956596230725,NA,41
EV109,B,F3,0.9860662049908315,320.7753713496582,NA,41
EV109,B,F4,0.9710062370732867,587.0611299233647,NA,41
EV109,B,F5,0.9432576591016012,527.4175620600216,NA,41
EV109,B,F6,0.9581993510174494,310.83887043189407,NA,41
EV109,C,F10,0.9557603142467803,349.38210578348935,NA,41
EV109,C,F11,0.9840093251347879,371.3565514270672,NA,41
EV109,C,F12,1.0631212363447449,369.361414807697,NA,41
EV109,C,F7,1.0272254752615697,443.8752219122498,NA,41
EV109,C,F8,1.0235446866222024,348.027842227378,NA,41
EV109,C,F9,1.0435848117144677,603.3077238871621,NA,41
EV112,A,B10,1.2312638682785089,374.8295609490049,NA,41
EV112,A,B11,1.2990129494628229,403.9663461538465,NA,41
EV112,A,B12,1.2299351496579174,446.2274774774779,NA,41
EV112,A,B7,1.0418088561840806,374.1324079017617,NA,41
EV112,A,B8,1.224489374329798,441.52836742570406,NA,41
EV112,A,B9,1.2340035920429098,365.9127625201939,NA,41
EV112,B,C1,1.1766724768990873,378.4775713638424,NA,41
EV112,B,C2,1.2114125256941164,399.5376955903272,NA,41
EV112,B,C3,1.1868310918541365,471.0031347962376,NA,41
EV112,B,C4,1.2260279702431784,754.8487199379354,NA,41
EV112,B,C5,1.1796878958895554,449.6062992125977,NA,41
EV112,B,C6,1.1966878781180852,416.053921568628,NA,41
EV112,C,C10,1.4344075202281155,566.8795620437961,NA,41
EV112,C,C11,1.6064825985132998,771.2649945474365,NA,41
EV112,C,C12,1.4943349757594406,456.71401768962676,NA,41
EV112,C,C7,1.287021280761126,385.18745351940146,NA,41
EV112,C,C8,1.4092345683493304,513.3936651583717,NA,41
